ReporteOvitrampasActivas
CENTRO NACIONAL EN VIGILANCIA EPIDEMIOLÓGICA Y CONTROL DE ENFERMEDADES
Reporte de Ovitrampas Activas por Estado en el año 2025
Estado: 11 Guanajuato


Fecha de Impresión: 14-01-2025 6:58:27 AM

Clave_de_Ubicación,Folio_de_Ovitrampas,Fecha_de_Creación,No_de_Lecturas,Huevos_Ubicados,X,Y,Ovitrampa,OviEscuela,Tipo_de_Escuela,Clave_SEP,
11001000100020046,110010001,07-03-2018 2:01:29 PM,2,0,-102,20,X,,,,
11001000100020046,110010002,07-03-2018 2:02:33 PM,2,0,-102,20,X,,,,
11001000100020046,110010003,07-03-2018 2:03:05 PM,2,0,-102,20,X,,,,
11001000100020046,110010004,07-03-2018 2:03:44 PM,2,0,-102,20,X,,,,
11001000100010005,110010005,07-03-2018 2:08:07 PM,2,0,-102,20,X,,,,
11001000100010005,110010006,07-03-2018 2:09:15 PM,2,0,-102,20,X,,,,
11001000100010005,110010007,07-03-2018 2:09:52 PM,2,0,-102,20,X,,,,
11001000100010005,110010008,07-03-2018 2:10:56 PM,2,0,-102,20,X,,,,
11001000100070029,110010009,07-03-2018 2:15:52 PM,2,0,-102,20,X,,,,
11001000100070029,110010010,07-03-2018 2:16:52 PM,2,0,-102,20,X,,,,
11001000100070029,110010011,07-03-2018 2:18:02 PM,2,0,-102,20,X,,,,
11001000100070029,110010012,07-03-2018 2:18:56 PM,2,0,-102,20,X,,,,
11001000100040007,110010013,07-03-2018 2:20:21 PM,2,0,-102,20,X,,,,
11001000100040007,110010014,07-03-2018 2:21:00 PM,2,0,-102,20,X,,,,
11001000100040007,110010015,07-03-2018 2:22:08 PM,2,0,-102,20,X,,,,
11001000100040007,110010016,07-03-2018 2:22:46 PM,2,0,-102,20,X,,,,
11001000100100026,110010021,07-03-2018 2:27:48 PM,2,0,-102,20,X,,,,
11001000100100026,110010022,07-03-2018 2:28:36 PM,2,0,-102,20,X,,,,
11001000100100026,110010023,07-03-2018 2:29:06 PM,2,0,-102,20,X,,,,
11001000100100026,110010024,07-03-2018 2:34:23 PM,2,0,-102,20,X,,,,
11001000100110018,110010025,07-03-2018 2:41:20 PM,2,0,-102,20,X,,,,
11001000100110018,110010026,07-03-2018 2:42:14 PM,2,0,-102,20,X,,,,
11001000100110018,110010027,07-03-2018 2:43:04 PM,2,0,-102,20,X,,,,
11001000100110018,110010028,07-03-2018 2:43:30 PM,2,0,-102,20,X,,,,
11001000100110009,110010029,07-03-2018 2:44:34 PM,2,0,-102,20,X,,,,
11001000100110009,110010030,07-03-2018 2:45:08 PM,2,0,-102,20,X,,,,
11001000100110009,110010031,07-03-2018 2:45:41 PM,2,0,-102,20,X,,,,
